lambda	Base_V_T	Vetro_T	Base_V_R	Vetro_R	Base_Si	Si_R
380	7,5	6,8	7,5	0,7	7,5	4,1
390	10	9,1	10	0,9	10,4	5,4
400	13,3	12,1	13,3	1,2	14	6,9
410	18,9	17,2	18,9	1,7	20	9,7
420	23,2	21,2	23,2	2,1	25	11,8
430	30,9	28,1	30,9	2,8	30,9	14,1
440	38,5	35	38,5	3,5	38,5	16,9
450	46,7	42,4	46,7	4,2	46,7	20,3
460	55,5	50,4	55,5	5	55,5	23,4
470	65,5	59,5	65,5	5,9	65,5	26,8
480	76,3	69,9	76,3	6,9	76,3	31
490	86,3	79,3	86,3	7,6	86,3	34,5
500	97,7	89	97,7	8,7	97,7	38,2
510	110,4	100,6	110,4	9,7	110,4	42
520	120,7	110,8	120,7	10,7	120,7	45,1
530	131,9	121	131,9	11,6	131,9	49
540	143,9	131,3	143,9	12,7	143,9	54
550	153,2	140,8	153,2	13,4	153,2	58,596
560	163,3	149,7	163,3	14,5	163,3	61,099
570	171,7	156,7	171,7	15,1	171,7	64
580	179,7	164,8	179,7	15,9	179,7	68
590	188,2	171,5	188,2	16,5	188,2	69
600	194,3	179,5	194,3	17,2	194,3	73,115
610	200,7	184,4	200,7	18	200,7	74,635
620	205,3	188,9	205,3	18,4	205,3	75,865
630	209,3	192,7	209,3	18,6	209,3	76,765
640	212,6	195,7	212,6	18,7	212,6	77,43
650	215,4	197,4	215,4	18,8	215,4	77,77
660	218,1	199,9	218,1	18,9	218,1	79
670	218,6	200,3	218,6	18,9	218,6	78,03
680	219,1	201,4	219,1	18,9	219,1	77,755
690	218,2	200,7	218,2	18,8	218,2	77,21
700	216,7	199	216,7	18,5	216,7	76,335
710	214,8	197,2	214,8	18,3	214,8	75,24
720	213,2	195,9	213,2	18	213,2	73,96
730	210,6	193,8	210,6	17,6	210,6	72,63
740	206,7	190,4	206,7	17,2	206,7	71,135
750	202,4	186,7	202,4	16,9	202,4	69,42
760	198,1	183	198,1	16,5	198,1	67,905
770	193,6	178,4	193,6	16,1	193,6	66,18
780	188,6	173,7	188,6	15,7	188,6	64,23
790	182,7	169,3	182,7	15,4	182,7	62,435
800	176,2	163,7	176,2	15	176,2	60,31
810	172,5	159,2	172,5	14,4	172,5	58,225
820	163,9	152,6	163,9	14	163,9	55,795
830	159	146,4	159	13,5	159	53,45
840	151,1	140,2	151,1	12,6	151,1	49,755
850	144	132,6	144	12	144	46,5